k-user,seperate,asOne,edgeHotMovies
30,0.2077922077922078,0.17532467532467533,0.06493506493506493
35,0.2012987012987013,0.12987012987012986,0.06493506493506493
40,0.21428571428571427,0.14935064935064934,0.06493506493506493
45,0.21428571428571427,0.16883116883116883,0.06493506493506493
50,0.2077922077922078,0.18831168831168832,0.06493506493506493
55,0.21428571428571427,0.18181818181818182,0.06493506493506493
60,0.2012987012987013,0.15584415584415584,0.06493506493506493
65,0.2077922077922078,0.15584415584415584,0.06493506493506493
70,0.21428571428571427,0.14935064935064934,0.06493506493506493
75,0.2077922077922078,0.14935064935064934,0.06493506493506493
80,0.22077922077922077,0.15584415584415584,0.06493506493506493
85,0.21428571428571427,0.16883116883116883,0.06493506493506493
90,0.22077922077922077,0.16883116883116883,0.06493506493506493
95,0.22077922077922077,0.17532467532467533,0.06493506493506493
100,0.2077922077922078,0.17532467532467533,0.06493506493506493
105,0.2077922077922078,0.16233766233766234,0.06493506493506493
110,0.2077922077922078,0.16233766233766234,0.06493506493506493
115,0.21428571428571427,0.17532467532467533,0.06493506493506493
120,0.21428571428571427,0.17532467532467533,0.06493506493506493
125,0.21428571428571427,0.17532467532467533,0.06493506493506493
