num,seperate,asOne,edgehotMovies,worldwideHotMovies
25,0.4147465437788018,0.33640552995391704,0.1935483870967742,0.35023041474654376
30,0.3787878787878788,0.3434343434343434,0.1919191919191919,0.24242424242424243
35,0.24489795918367346,0.17959183673469387,0.10204081632653061,0.11020408163265306
40,0.24022346368715083,0.18435754189944134,0.08379888268156424,0.055865921787709494
45,0.16666666666666666,0.11333333333333333,0.02666666666666667,0.04
50,0.18125,0.14375,0.0375,0.03125
55,0.32335329341317365,0.2634730538922156,0.09580838323353294,0.10179640718562874
60,0.20276497695852536,0.15668202764976957,0.07834101382488479,0.05069124423963134
65,0.3557951482479784,0.31266846361185985,0.22641509433962265,0.1778975741239892
70,0.24806201550387597,0.20155038759689922,0.03875968992248062,0.015503875968992248
75,0.22285714285714286,0.17714285714285713,0.05142857142857143,0.045714285714285714
80,0.3425925925925926,0.2777777777777778,0.15432098765432098,0.08950617283950617
85,0.23046875,0.1875,0.07421875,0.046875
90,0.30982367758186397,0.26448362720403024,0.19143576826196473,0.14609571788413098
95,0.2984409799554566,0.2739420935412027,0.18930957683741648,0.1492204899777283
