num,ga,traditional
1000,18.29600300808215,19.8779097506482
2000,19.925559016931476,20.72308908168513
3000,21.345458860673727,22.271117960011384
4000,19.008441481732845,18.80905639657553
5000,16.603423097751275,16.911522438496462
6000,17.291528195914598,16.300605999000325
7000,17.186582338585453,15.920256214695709
8000,16.763549915435952,16.979173387947988
9000,12.878542409172347,11.342069687260105
10000,13.839346692297335,13.186718378214794
11000,12.508749345232156,11.092400591221548
12000,13.749572400479419,11.736644090039515
13000,11.44468190438208,8.949139400791164
14000,11.922889327516137,9.23583308535719
15000,8.244999632297686,6.347513461401992
